mM,VALOR,HCO3,NO3-,NH4+,H2PO4-,K+,Ca+2,Mg+2,SO4-2,Fe2+,Mn2+,Zn2+,Cu2+,B3+,Mo2+,Co2+,Cl-,Na+
Fertilizante,0,,18.9984985057633,0.498933944471978,2.000263086149,10.9746738296239,4.74075552672289,0.987451141740383,0.999348341602247,0.02686005909213,0.00910083727702949,0.000764420798361082,0.000314732634626884,0.0462534690101758,0.000104231811548885,,,
Ácido nítrico,0,,,,,,,,,,,,,,,,,
Ácido fosfórico,0,,,,,,,,,,,,,,,,,
Ácido sulfúrico,0,,,,,,,,,,,,,,,,,
"Nitrato de amonio, Nitamks",1,,,,,,,,,,,,,,,,,
"Nitrato de Potasio más Mg, KERF",1,,,,,,,,,,,,,,,,,
"Nitrato de potasio más S, Nitroksul",1,,,,,,,,,,,,,,,,,
Nitrato de calcio samurai,1,,,,,,,,,,,,,,,,,
Nitrato de calcio bi,1,,,,,,,,,,,,,,,,,
Nitrato de magnesio,1,,,,,,,,,,,,,,,,,
"Fosfato monoamónico, Map colossal",1,,,,,,,,,,,,,,,,,
"Fosfato monopotásico, Mkp colossal",1,,,,,,,,,,,,,,,,,
Sulfato de amonio,1,,,,,,,,,,,,,,,,,
"Sulfato de potasio, Solucros",1,,,,,,,,,,,,,,,,,
Sulfato de calcio,1,,,,,,,,,,,,,,,,,
"Sulfato de magnesio, Sulmag",1,,,,,,,,,,,,,,,,,
Sulfato de fierro,0,,,,,,,,,,,,,,,,,
Sulfato de manganeso,0,,,,,,,,,,,,,,,,,
Sulfato de zinc,0,,,,,,,,,,,,,,,,,
Sulfato de cobre,0,,,,,,,,,,,,,,,,,
Quelato Ca 95%,1,,,,,,,,,,,,,,,,,
"Quelato Fe 6%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato de Mn 13%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato de Zn 15%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato Cu 15%, microhow",1,,,,,,,,,,,,,,,,,
Quelato full mix,0,,,,,,,,,,,,,,,,,
Quelato full mix B,0,,,,,,,,,,,,,,,,,
"Ácido bórico, abo",1,,,,,,,,,,,,,,,,,
Solubor,0,,,,,,,,,,,,,,,,,
"Borato sódico, greenboro",0,,,,,,,,,,,,,,,,,
Molibdato de amonio,1,,,,,,,,,,,,,,,,,
"Molibdato de sodio, MOST",1,,,,,,,,,,,,,,,,,
Cloruro de potasio,0,,,,,,,,,,,,,,,,,
Cloruro de calcio,0,,,,,,,,,,,,,,,,,
