fertilizante,g/l,elemento,error[%]
"Nitrato de amonio, Nitamks",0.15130993507590895,H+,0.0
"Nitrato de Potasio más Mg, KERF",0.38074587983223485,NO3-,-0.0
"Nitrato de potasio más S, Nitroksul",0.008895280417278864,NH4+,0.0
Nitrato de calcio samurai,0.00021314782369099826,H2PO4-,-0.0
Nitrato de calcio bi,0.000236075172384626,K+,0.0
Nitrato de magnesio,0.5511766223278136,Ca+2,0.01
"Fosfato monoamónico, Map colossal",0.015630640562842406,Mg+2,0.01
"Fosfato monopotásico, Mkp colossal",0.15970693109338505,SO4-2,-0.0
Sulfato de amonio,0.15165797479024798,Fe,-0.01
"Sulfato de potasio, Solucros",0.0,Mn,0.0
Sulfato de calcio,0.18205854919109898,Zn,-0.0
Quelato Ca 95%,1.173361791176855,Cu,-0.01
"Quelato Fe 6%, microhow",0.03339103232886257,B,0.0
"Quelato de Mn 13%, microhow",0.0076919831612816455,Mo,-0.03
"Quelato de Zn 15%, microhow",0.0010174099210124004,Co,0.0
"Quelato Cu 15%, microhow",0.0007077397119866096,Cl-,0.0
"Ácido bórico, abo",0.0028667875200882056,Na+,0.0
Molibdato de amonio,0.00013906867276068918,,
"Molibdato de sodio, MOST",0.0,,
