fertilizante,g/l,error
"Nitrato de amonio, Nitamks",0.0010212018975631555,0.0
"Nitrato de Potasio más Mg, KERF",0.1690512229323631,2.9
"Nitrato de potasio más S, Nitroksul",0.30371959102846857,-3.54
Nitrato de calcio samurai,0.2554693481574142,3.75
Nitrato de calcio bi,0.25601045496246083,-1.75
Nitrato de magnesio,0.19198080782019575,-4.28
"Fosfato monoamónico, Map colossal",0.1257690272585116,-3.73
"Fosfato monopotásico, Mkp colossal",0.019384293423051847,3.69
Sulfato de amonio,0.0,-2.47
"Sulfato de potasio, Solucros",0.3661811240512924,0.0
Sulfato de calcio,0.16190002755735317,1.76
"Sulfato de magnesio, Sulmag",0.10014909906264985,-0.18
Quelato Ca 95%,0.0,0.03
"Quelato Fe 6%, microhow",0.02721112466777851,0.0
"Quelato de Mn 13%, microhow",0.0,0.0
"Quelato de Zn 15%, microhow",0.00543850298921392,-7.87
"Quelato Cu 15%, microhow",0.0023467281139737343,0.0
"Ácido bórico, abo",0.014222261886072219,
Molibdato de amonio,0.0,
"Molibdato de sodio, MOST",0.0,
