fertilizante,g/l,elemento,error[%]
"Nitrato de amonio, Nitamks",0.004719762400200949,H+,0.0
"Nitrato de Potasio más Mg, KERF",0.0008630602894966679,NO3-,0.59
"Nitrato de potasio más S, Nitroksul",0.5653212916406094,NH4+,-0.67
Nitrato de calcio samurai,0.19853192550165222,H2PO4-,0.66
Nitrato de calcio bi,0.14585809150352722,K+,-0.56
Nitrato de magnesio,0.2999555245162945,Ca+2,-1.02
"Fosfato monoamónico, Map colossal",0.0008524753584169301,Mg+2,-0.18
"Fosfato monopotásico, Mkp colossal",0.17018091130775176,SO4-2,1.19
Sulfato de amonio,0.07044204587145268,Fe,0.55
"Sulfato de potasio, Solucros",0.2168103193437913,Mn,0.0
Sulfato de calcio,0.2904487229838136,Zn,0.73
"Sulfato de magnesio, Sulmag",0.0004264442164002922,Cu,0.37
Quelato Ca 95%,0.0,B,0.03
"Quelato Fe 6%, microhow",2.228694971191049e-05,Mo,0.0
"Quelato de Mn 13%, microhow",0.0,Co,0.0
"Quelato de Zn 15%, microhow",0.009947830436739098,Cl-,-3.68
"Quelato Cu 15%, microhow",0.0,Na+,0.0
"Ácido bórico, abo",0.014223531729555013,,
Molibdato de amonio,0.0,,
"Molibdato de sodio, MOST",0.0,,
