fertilizante,g/l,elemento,error[%]
"Nitrato de amonio, Nitamks",0.0010732697574433552,H+,0.0
"Nitrato de Potasio más Mg, KERF",0.3117066257920933,NO3-,-8.54
"Nitrato de potasio más S, Nitroksul",0.08264348008401473,NH4+,10.42
Nitrato de calcio samurai,0.24305110999970675,H2PO4-,-9.03
Nitrato de calcio bi,0.16875011596044195,K+,4.01
Nitrato de magnesio,0.25546464805461,Ca+2,17.82
"Fosfato monoamónico, Map colossal",0.02769967865294928,Mg+2,28.19
"Fosfato monopotásico, Mkp colossal",0.13573963647809462,SO4-2,-23.49
Sulfato de amonio,0.0004101458773601032,Fe,-0.22
"Sulfato de potasio, Solucros",0.002454514912622133,Mn,0.91
Sulfato de calcio,0.33348644184748,Zn,0.03
"Sulfato de magnesio, Sulmag",0.14607871626982974,Cu,0.15
"Quelato Fe 6%, microhow",0.014644239844399299,B,0.43
"Quelato de Mn 13%, microhow",0.0,Mo,-60.43
"Quelato de Zn 15%, microhow",0.0009041672711445278,Co,0.0
"Quelato Cu 15%, microhow",2.9900703776723444e-05,Cl-,-2.48
"Ácido bórico, abo",0.002600211930611623,Na+,0.0
Molibdato de amonio,0.10746061026919686,,
"Molibdato de sodio, MOST",0.0,,
