fertilizante,g/l,elemento,error[%]
"Nitrato de amonio, Nitamks",7.697658466071116e-05,H+,0.0
"Nitrato de Potasio más Mg, KERF",0.003547342506960564,NO3-,-0.02
"Nitrato de potasio más S, Nitroksul",0.8337706604908406,NH4+,-0.2
Nitrato de calcio samurai,0.6152799625037244,H2PO4-,0.34
Nitrato de calcio bi,0.42313717135239914,K+,-0.01
Nitrato de magnesio,0.2571413012815444,Ca+2,-0.29
"Fosfato monoamónico, Map colossal",0.0011287056634994607,Mg+2,-0.28
"Fosfato monopotásico, Mkp colossal",0.27397355525310996,SO4-2,-0.22
Sulfato de amonio,0.0,Fe,-0.34
"Sulfato de potasio, Solucros",0.09851380456290135,Mn,0.15
Sulfato de calcio,0.031513766202617935,Zn,0.08
"Sulfato de magnesio, Sulmag",0.0,Cu,-0.05
Quelato Ca 95%,0.008157658692728647,B,0.02
"Quelato Fe 6%, microhow",0.017947820913822705,Mo,-0.11
"Quelato de Mn 13%, microhow",0.003230607382352098,Co,0.0
"Quelato de Zn 15%, microhow",0.0,Cl-,-1.67
"Quelato Cu 15%, microhow",0.0003531093011324451,Na+,0.0
"Ácido bórico, abo",0.0028573949986925085,,
Molibdato de amonio,0.00021467251950804296,,
"Molibdato de sodio, MOST",0.0,,
