fertilizante,g/l,elemento,error[%]
"Nitrato de amonio, Nitamks",0.00794669017093291,H+,0.0
"Nitrato de Potasio más Mg, KERF",0.0,NO3-,0.17
"Nitrato de potasio más S, Nitroksul",0.10262090284392313,NH4+,-0.18
Nitrato de calcio samurai,0.4662741189238604,H2PO4-,0.16
Nitrato de calcio bi,0.12827730809668506,K+,-0.18
Nitrato de magnesio,0.3853060083319419,Ca+2,-0.31
"Fosfato monoamónico, Map colossal",0.005944318042843943,Mg+2,-0.32
"Fosfato monopotásico, Mkp colossal",0.04984802938742728,SO4-2,0.35
Sulfato de amonio,0.002721446350272946,Fe,0.2
"Sulfato de potasio, Solucros",0.02685590050372097,Mn,0.0
Sulfato de calcio,0.00046544448808484,Zn,0.0
Quelato Ca 95%,0.0,Cu,0.0
"Quelato Fe 6%, microhow",9.708977029815739e-10,B,0.0
"Quelato de Mn 13%, microhow",0.0,Mo,0.0
"Quelato de Zn 15%, microhow",0.0,Co,0.0
"Quelato Cu 15%, microhow",0.0,Cl-,0.09
"Ácido bórico, abo",0.0,Na+,0.0
Solubor,0.0,,
"Borato sódico, greenboro",0.0,,
Molibdato de amonio,0.0,,
"Molibdato de sodio, MOST",0.0,,
