fertilizante,g/l,error
"Nitrato de amonio, Nitamks",0.0,0.0
"Nitrato de potasio más S, Nitroksul",0.2626534268919407,-12.55
Nitrato de calcio bi,0.8588781560597745,11.28
"Fosfato monoamónico, Map colossal",0.0,-11.81
"Fosfato monopotásico, Mkp colossal",0.17206854307311026,11.98
"Sulfato de potasio, Solucros",0.1392370710068191,25.53
"Sulfato de magnesio, Sulmag",0.38323985428710694,22.75
"Quelato Fe 6%, microhow",0.016749266986853823,-22.44
"Quelato de Mn 13%, microhow",0.0038515868563447015,-0.01
"Quelato de Zn 15%, microhow",0.0010008451494570839,-0.0
"Quelato Cu 15%, microhow",0.0006509139992336063,0.01
"Ácido bórico, abo",0.0028681453651331766,0.0
Molibdato de amonio,0.12037395253817607,-0.0
"Molibdato de sodio, MOST",0.0,-67.7
